sensor_type,device_type,timestamps,x,y,z
bmi160_accelerometer,smartphone,1497147986494,19.46193,0.17723145,-4.988826
bmi160_accelerometer,smartphone,1497147986496,19.751726,0.36883304,-5.3863993
bmi160_accelerometer,smartphone,1497147986499,19.928959,0.5029541,-5.4822
bmi160_accelerometer,smartphone,1497147986502,20.029549,0.58677983,-5.7648125
bmi160_accelerometer,smartphone,1497147986504,20.04871,0.6346802,-5.7552323
bmi160_accelerometer,smartphone,1497147986507,19.928959,0.76161623,-5.9707837
bmi160_accelerometer,smartphone,1497147986509,19.696642,0.84065187,-5.910908
bmi160_accelerometer,smartphone,1497147986511,19.421215,0.89573735,-5.592371
bmi160_accelerometer,smartphone,1497147986514,19.066751,0.95561284,-5.4175344
bmi160_accelerometer,smartphone,1497147986516,18.772163,0.9532178,-5.269043
bmi160_accelerometer,smartphone,1497147986519,18.37459,1.0130934,-4.988826
bmi160_accelerometer,smartphone,1497147986522,17.979412,1.1208692,-4.7804594
bmi160_accelerometer,smartphone,1497147986524,17.57226,1.1807446,-4.150569
bmi160_accelerometer,smartphone,1497147986527,17.323177,1.1472144,-3.4751735
bmi160_accelerometer,smartphone,1497147986529,16.99506,1.1639795,-2.9338992
bmi160_accelerometer,smartphone,1497147986532,16.698076,1.2430152,-2.3255641
bmi160_accelerometer,smartphone,1497147986534,16.413069,1.1400293,-1.4801221
bmi160_accelerometer,smartphone,1497147986536,15.967596,1.1256592,-0.855022
bmi160_accelerometer,smartphone,1497147986539,15.706539,1.094524,-0.098195806
bmi160_accelerometer,smartphone,1497147986541,15.397581,1.1496094,0.64186525
bmi160_accelerometer,smartphone,1497147986544,15.050303,1.0777588,1.3843213
bmi160_accelerometer,smartphone,1497147986547,14.820381,1.219065,2.069297
bmi160_accelerometer,smartphone,1497147986549,14.511424,1.2621753,2.8333082
bmi160_accelerometer,smartphone,1497147986551,14.207256,1.2454102,3.4560134
bmi160_accelerometer,smartphone,1497147986554,14.144986,1.22625,3.9972878
bmi160_accelerometer,smartphone,1497147986556,13.9174595,1.2669654,4.524192
bmi160_accelerometer,smartphone,1497147986559,13.859979,1.2502003,4.9864306
bmi160_accelerometer,smartphone,1497147986562,13.6923275,1.1567944,5.1804276
bmi160_accelerometer,smartphone,1497147986565,13.610896,1.1855347,5.3384986
bmi160_accelerometer,smartphone,1497147986567,13.48396,1.2861255,5.3552637
bmi160_accelerometer,smartphone,1497147986569,13.261224,1.2478052,5.1684523
bmi160_accelerometer,smartphone,1497147986572,13.007352,1.2957057,4.744534
bmi160_accelerometer,smartphone,1497147986574,12.851675,1.2669654,4.2080493
bmi160_accelerometer,smartphone,1497147986577,12.945081,1.22625,3.6548
bmi160_accelerometer,smartphone,1497147986579,12.942686,1.0633887,3.1087356
bmi160_accelerometer,smartphone,1497147986581,12.928316,1.0825489,2.550696
bmi160_accelerometer,smartphone,1497147986584,12.870835,0.9627979,1.9160157
bmi160_accelerometer,smartphone,1497147986587,12.803775,0.91729254,1.3172607
bmi160_accelerometer,smartphone,1497147986589,12.458892,0.8885523,0.5748047
bmi160_accelerometer,smartphone,1497147986592,12.147539,0.9053174,0.0023950196
bmi160_accelerometer,smartphone,1497147986594,11.872112,0.9484278,-0.4742139
bmi160_accelerometer,smartphone,1497147986597,11.757152,0.97956306,-0.974773
bmi160_accelerometer,smartphone,1497147986600,11.60866,1.0394385,-1.4226416
bmi160_accelerometer,smartphone,1497147986602,11.366763,1.0226734,-1.7459693
bmi160_accelerometer,smartphone,1497147986604,11.208692,0.9532178,-2.059717
bmi160_accelerometer,smartphone,1497147986607,11.122471,0.9532178,-2.0429518
bmi160_accelerometer,smartphone,1497147986610,11.038646,0.80233157,-2.9051588
bmi160_accelerometer,smartphone,1497147986612,11.120076,0.3281177,-5.910908
bmi160_accelerometer,smartphone,1497147986615,11.00751,-0.24908204,-10.145303
bmi160_accelerometer,smartphone,1497147986617,10.511742,-0.8646021,-14.743741
bmi160_accelerometer,smartphone,1497147986620,9.137,-0.43110353,-15.1413145
bmi160_accelerometer,smartphone,1497147986623,7.7239385,0.43110353,-13.754598
bmi160_accelerometer,smartphone,1497147986625,7.2521195,0.58198977,-12.703184
bmi160_accelerometer,smartphone,1497147986628,7.6377177,0.4766089,-11.467354
bmi160_accelerometer,smartphone,1497147986630,8.032896,0.06706055,-9.283096
bmi160_accelerometer,smartphone,1497147986632,8.686736,-0.364043,-6.3132715
bmi160_accelerometer,smartphone,1497147986636,8.509504,-0.3424878,-4.2224197
bmi160_accelerometer,smartphone,1497147986638,8.349038,-0.39996827,-1.6621436
bmi160_accelerometer,smartphone,1497147986640,8.128696,-0.3879932,1.5208374
bmi160_accelerometer,smartphone,1497147986643,8.042476,-0.2945874,3.8104763
bmi160_accelerometer,smartphone,1497147986646,8.693921,-0.28979737,3.7937112
bmi160_accelerometer,smartphone,1497147986648,8.751402,-0.06945557,3.276387
bmi160_accelerometer,smartphone,1497147986650,8.459209,0.15567628,3.0847852
bmi160_accelerometer,smartphone,1497147986653,8.078402,0.19878663,3.056045
bmi160_accelerometer,smartphone,1497147986655,8.150251,0.031135255,3.0201197
bmi160_accelerometer,smartphone,1497147986658,8.224498,-0.21794678,2.680027
bmi160_accelerometer,smartphone,1497147986660,8.425679,-0.5388794,1.9734962
bmi160_accelerometer,smartphone,1497147986663,8.590936,-0.7807764,1.3747413
bmi160_accelerometer,smartphone,1497147986665,8.250843,-0.92208254,0.7496411
bmi160_accelerometer,smartphone,1497147986668,8.104747,-0.9244776,0.51492923
bmi160_accelerometer,smartphone,1497147986670,8.164622,-1.101709,1.1735597
bmi160_accelerometer,smartphone,1497147986672,7.965835,-1.2358302,1.9830762
bmi160_accelerometer,smartphone,1497147986676,8.083191,-1.1400293,2.3878345
bmi160_accelerometer,smartphone,1497147986678,8.298743,-1.0538087,3.0057497
bmi160_accelerometer,smartphone,1497147986681,8.861572,-0.98195803,3.1542408
bmi160_accelerometer,smartphone,1497147986683,9.091495,-0.9651929,2.8955786
bmi160_accelerometer,smartphone,1497147986685,9.196876,-0.8981324,2.311194
bmi160_accelerometer,smartphone,1497147986688,9.503438,-1.0657837,1.7794995
bmi160_accelerometer,smartphone,1497147986690,9.745335,-1.1304493,1.7579445
bmi160_accelerometer,smartphone,1497147986693,10.138118,-1.2454102,1.7699195
bmi160_accelerometer,smartphone,1497147986695,10.550061,-1.4274317,1.9255958
bmi160_accelerometer,smartphone,1497147986698,10.9644,-1.7148341,2.0932472
bmi160_accelerometer,smartphone,1497147986701,11.206297,-1.81782,2.4261549
bmi160_accelerometer,smartphone,1497147986703,11.510465,-1.954336,2.8764186
bmi160_accelerometer,smartphone,1497147986706,11.637401,-2.047742,3.1302907
bmi160_accelerometer,smartphone,1497147986708,11.56555,-1.9567311,3.1278956
bmi160_accelerometer,smartphone,1497147986710,11.805052,-1.7699195,3.661985
bmi160_accelerometer,smartphone,1497147986713,11.814631,-1.6645386,3.666775
