label,x,y,z,timestamp,
18,-0.29247957,-0.6856398,0.6064248,0.27677193,0.5235988,1496906732283
18,-0.2930116,-0.6922741,0.60091513,0.2716648,0.5235988,1496906732288
18,-0.29367435,-0.6988841,0.59534276,0.26623926,0.5235988,1496906732293
18,-0.29457203,-0.70536906,0.5897266,0.26058462,0.5235988,1496906732298
18,-0.29576793,-0.71161646,0.58414024,0.25476187,0.5235988,1496906732302
18,-0.29744688,-0.71746767,0.5785971,0.24897963,0.5235988,1496906732308
18,-0.29970673,-0.7228445,0.5731174,0.24332726,0.5235988,1496906732313
18,-0.30270776,-0.7276143,0.5677276,0.23797238,0.5235988,1496906732318
18,-0.3064886,-0.73171896,0.562396,0.23315851,0.5235988,1496906732323
18,-0.3111993,-0.7350209,0.55713356,0.22913206,0.5235988,1496906732328
18,-0.3167978,-0.73752564,0.5518891,0.22608292,0.5235988,1496906732332
18,-0.32323626,-0.73922753,0.5466318,0.22417533,0.5235988,1496906732337
18,-0.3303046,-0.740181,0.5413087,0.22364214,0.5235988,1496906732343
18,-0.33789542,-0.74037015,0.535852,0.22481401,0.5235988,1496906732347
18,-0.3456703,-0.73992205,0.5302853,0.2276509,0.5235988,1496906732352
18,-0.35334173,-0.7389788,0.52469796,0.23184478,0.5235988,1496906732357
18,-0.36055997,-0.73771864,0.5192621,0.23692738,0.5235988,1496906732362
18,-0.36731714,-0.7361956,0.51410526,0.2424663,0.5235988,1496906732368
18,-0.37357426,-0.7344858,0.50940263,0.2479553,0.5235988,1496906732373
18,-0.37940836,-0.7326203,0.50525796,0.25304383,0.5235988,1496906732378
18,-0.38788652,-0.7263451,0.50875545,0.25126624,0.5235988,1496906732382
18,-0.39318034,-0.7244332,0.5054898,0.25511912,0.5235988,1496906732388
18,-0.39822978,-0.7226409,0.5025397,0.2581804,0.5235988,1496906732393
18,-0.40304464,-0.72100323,0.499879,0.26044255,0.5235988,1496906732398
18,-0.407524,-0.71959245,0.49748102,0.26196083,0.5235988,1496906732402
18,-0.4117739,-0.71836466,0.4952333,0.26294196,0.5235988,1496906732407
18,-0.41572532,-0.7173712,0.49310583,0.26343417,0.5235988,1496906732413
18,-0.41941595,-0.7165641,0.491059,0.26360416,0.5235988,1496906732418
18,-0.4228205,-0.7159279,0.48906925,0.26359308,0.5235988,1496906732423
18,-0.42610398,-0.71534437,0.4870138,0.26369572,0.5235988,1496906732428
18,-0.42921084,-0.7148028,0.4849108,0.26400092,0.5235988,1496906732433
