,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rotation_phone_x,rotation_phone_y,rotation_phone_z,rotation_phone_theta,rotation_phone_phi,labelstairsdown,labelstairsup,labelwalking,acc_phone_x_kalman,acc_phone_y_kalman,acc_phone_z_kalman,gyr_phone_x_kalman,gyr_phone_y_kalman,gyr_phone_z_kalman,rotation_phone_x_kalman,rotation_phone_y_kalman
2017-06-25 00:23:34.891,4.46000554,-7.01788646,-3.327400755,1.378445435,-0.33868883805,0.138946536965,-0.728021128,-0.378083875,0.194521591,0.537682033,2.0943952,1,0,0,3.0055357387,-5.39122883395,-2.14674537304,1.25007441739,-0.33522121749,0.155337573291,-0.733939290956,-0.379202581931
2017-06-25 00:23:34.941,2.137555005,-9.260463085,-3.84999403,1.237475925,-0.4760915165,-0.3424153685,-0.70647641,-0.379163523,0.208636922,0.559916413,2.0943952,1,0,0,2.62746481717,-7.33892091958,-3.05654696289,1.24013004538,-0.431889147889,-0.214286912971,-0.715502554623,-0.379176151201
2017-06-25 00:23:34.991,-1.3828843145,-7.489705345,-1.6510068005,1.29614224,-0.8058898995,-0.1717932843,-0.682789439,-0.387928624,0.227605846,0.575656207,2.0943952,1,0,0,0.880655793731,-7.41482278061,-2.30576831539,1.28434196753,-0.688535740866,-0.182731726908,-0.693541182549,-0.385100441232
2017-06-25 00:23:35.041,-3.7955073745,-18.9857997,-4.190805375,0.71262004145,-0.61956312825,0.374623284,-0.663600722,-0.388835113,0.256957923,0.58510519,2.0943952,1,0,0,-1.15616542826,-13.2394125491,-3.31267347156,0.833066397743,-0.64120537515,0.231152451632,-0.673441193797,-0.387628319747
2017-06-25 00:23:35.091,3.015449422,-15.04347767,-1.95385704,-0.2399888775,0.876907028,-0.310739815765,-0.664058123,-0.383147898,0.253183352,0.589968445,2.0943952,1,0,0,0.660887026109,-14.1475416751,-2.58685262037,-0.0139251042625,0.400552896567,-0.171249294915,-0.667142051254,-0.384595656718
2017-06-25 00:23:35.141,3.858735809,-8.85271114,0.222018335,-0.9048027985,0.1968675468,-0.523205573,-0.672624615,-0.387619712,0.230464116,0.586632934,2.0943952,1,0,0,2.05379098046,-11.4822336237,-1.08647545828,-0.717118922658,0.260780043824,-0.432607191702,-0.670822656087,-0.386642542364
2017-06-25 00:23:35.191,1.694955446,-9.124905035,2.4820786055,0.4584170962,-0.020868599665,0.1360185438,-0.673096837,-0.392755801,0.22868248,0.583407832,2.0943952,1,0,0,1.89749109282,-10.295603116,0.819691478987,0.210763389948,0.0675072671619,-0.0103535384505,-0.6723493866,-0.39078042491
2017-06-25 00:23:35.241,5.13324557,-9.53433356,-2.708886973,0.5047326,0.08097228955,0.02427571693,-0.665895409,-0.383434929,0.231474876,0.596629641,2.0943952,1,0,0,3.30690579115,-9.91239564861,-1.06512218753,0.442801231574,0.0767472287586,0.0153616700571,-0.668016617597,-0.385808477039
2017-06-25 00:23:35.291,1.491019465,-7.099676495,-3.14202625,-0.06973944849,-0.13426174858,0.09199218975,-0.66252881,-0.383180801,0.235451929,0.598989868,2.0943952,1,0,0,2.51595056088,-8.49653123828,-2.17451431725,0.0382390360949,-0.0680512309657,0.0722664419871,-0.664332476216,-0.384029880399
2017-06-25 00:23:35.341,-0.370389789,-6.1817852,-1.917332965,-0.5434353345,-0.575749722,0.12382744695,-0.666189664,-0.389103759,0.240220788,0.589107501,2.0943952,1,0,0,1.25873198303,-7.33133605859,-2.03713920416,-0.420892250386,-0.416443791217,0.110554937575,-0.665579271047,-0.387464242141
2017-06-25 00:23:35.391,0.3749403239,-7.02722718,-2.923360965,-0.7211378345,0.147357855835,0.1590165895,-0.675481651,-0.394209497,0.240105149,0.57501475,2.0943952,1,0,0,0.873774166875,-7.17825406993,-2.51052052372,-0.657884186456,-0.029552138992,0.146541897521,-0.672227077531,-0.392029904849
2017-06-25 00:23:35.441,2.320534505,-5.482199955,-0.0102985825,-0.7338080535,0.318672016,0.11451110905,-0.689273689,-0.391632725,0.229726928,0.5645512,2.0943952,1,0,0,1.5039472259,-6.32449571173,-1.17501029025,-0.717812934496,0.209406038591,0.122756275037,-0.683671038436,-0.39176107315
2017-06-25 00:23:35.491,3.70449666,-9.025990775,-3.324167475,-1.099274717,0.0915130625,0.04801907023,-0.703907222,-0.391201422,0.217728695,0.551367164,2.0943952,1,0,0,2.4624521999,-7.68437213451,-2.32299694957,-1.01891104854,0.128505583851,0.0672574543193,-0.697256264831,-0.391382272134
2017-06-25 00:23:35.541,4.99696897,-15.137242625,-6.005751225,-1.838459615,-0.904376915,-0.7780473565,-0.718037743,-0.410209392,0.208553079,0.521918506,2.0943952,1,0,0,3.56642501711,-11.4359923632,-4.29016467122,-1.66580285671,-0.580278481181,-0.560454295104,-0.711207533057,-0.404125774
2017-06-25 00:23:35.591,-0.345960577,-18.72534105,-4.6623847395,-2.66175774,-0.9305691355,-1.73970645,-0.726074981,-0.460298081,0.18231306,0.476551402,2.0943952,1,0,0,1.86228646493,-15.1052996393,-4.4889883819,-2.45193691137,-0.820654724918,-1.43615069171,-0.721188541772,-0.442147107234
2017-06-25 00:23:35.641,-2.9574900155,-5.841452915,-0.605700462,-1.3940436635,-0.8779717495,-0.3983666372,-0.733383482,-0.496595631,0.167105554,0.433001617,2.0943952,1,0,0,-0.237089123696,-10.4420714718,-2.41470421141,-1.61691322382,-0.859986794877,-0.665506516709,-0.729375397335,-0.479001650439
2017-06-25 00:23:35.691,0.286803601715,-5.53285464,-1.8901494975,-0.128831648235,-0.2584618418,0.1560885973,-0.738376891,-0.506671191,0.169104074,0.411676922,2.0943952,1,0,0,-0.00889438950016,-7.97087352618,-2.13450979821,-0.442330263072,-0.447208667219,-0.0554012866493,-0.735418408546,-0.497730320485
2017-06-25 00:23:35.741,-0.24417225222,-3.96902653,-0.558518573,1.1691206145,0.8788767635,0.286570577,-0.737543046,-0.495146175,0.171425796,0.425857636,2.0943952,1,0,0,-0.111375613241,-5.95642679067,-1.29268357716,0.829631467192,0.462776933631,0.19854231865,-0.736844746931,-0.49598119787
2017-06-25 00:23:35.791,-0.28991712777,-1.761297415,-0.7492819,2.04677297,1.15442746,0.5156992655,-0.727514652,-0.469931504,0.175660436,0.467682239,2.0943952,1,0,0,-0.189143893703,-3.84468572223,-1.0024219363,1.79035410789,0.937400941581,0.434058707986,-0.730581133047,-0.478348958428
2017-06-25 00:23:35.841,0.553608793,-6.09292995,-1.3570181116,2.593988025,-0.094281341415,1.51504962,-0.71287666,-0.432560435,0.202280986,0.513124348,2.0943952,1,0,0,0.13438082643,-4.97640516787,-1.19183185033,2.42468399112,0.22944049645,1.23678766389,-0.718695557542,-0.447356105407
2017-06-25 00:23:35.891,2.667213615,-11.29814595,-2.001038895,2.21207144,-1.797148325,0.899053281,-0.688729166,-0.407763205,0.264632788,0.537478818,2.0943952,1,0,0,1.23762026795,-8.15863847329,-1.62407513677,2.2568631472,-1.16124418217,0.985990750865,-0.698578147159,-0.420556880544
