,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rotation_phone_x,rotation_phone_y,rotation_phone_z,rotation_phone_theta,rotation_phone_phi,labelstairsdown,labelstairsup,labelwalking,acc_phone_x_kalman,acc_phone_y_kalman,acc_phone_z_kalman,gyr_phone_x_kalman,gyr_phone_y_kalman,gyr_phone_z_kalman,rotation_phone_x_kalman,rotation_phone_y_kalman,rotation_phone_z_kalman,rotation_phone_theta_kalman,rotation_phone_phi_kalman
2017-06-25 00:25:57.941,1.45021509487,-9.07706292308,1.65778346051,0.53656786675,1.01116876825,0.152521770657,-0.0909889431,-0.592164744,0.798910974,0.05077554475,0.5235988,0,1,0,1.14497915558,-8.95118032593,1.43817503203,0.567286594618,1.14736978065,0.25702906226,-0.0773465884622,-0.471943913046,0.645172980564,0.0386056746098,0.523598790169
2017-06-25 00:25:58.041,0.476024755683,-9.54730764634,0.710152531463,0.244008216075,1.05641954975,-0.1931143892,-0.1160315104,-0.5837291365,0.798615184,0.08801752755,0.5235988,0,1,0,0.869212786137,-9.22929212356,1.09509029902,0.324122121052,1.08782432425,-0.0668093250402,-0.103442758329,-0.548397532948,0.750541743887,0.0717666596217,0.523598790169
2017-06-25 00:25:58.141,1.78674451075,-11.54531185,-1.00608786143,-0.702877816675,1.3019716175,-0.80852508925,-0.14125695725,-0.6032203615,0.7727368655,0.1361496203,0.5235988,0,1,0,1.24745139179,-10.3097862753,0.10489818795,-0.448369682681,1.22802730582,-0.600408197007,-0.128951552929,-0.585892666646,0.765783124413,0.114974957937,0.523598790169
2017-06-25 00:25:58.241,-3.1683115935,-12.8349102125,-0.30422733575,-2.4990146475,1.0946964015,-1.589447205,-0.155765215,-0.6645793795,0.699783397,0.2054784155,0.5235988,0,1,0,-0.572880325331,-11.4878339916,-0.0879045229623,-1.99082975571,1.14073512033,-1.31193430507,-0.147039581781,-0.639709120662,0.720461094468,0.175713088716,0.523598790169
2017-06-25 00:25:58.341,-2.5671018115,-11.1959982875,-0.3787723548,-1.92337141,0.92915837175,-1.26257681225,-0.1672590675,-0.736143653,0.593549022,0.2767303115,0.5235988,0,1,0,-1.39496802802,-11.3516836554,-0.224977630861,-1.94008875915,1.00221513153,-1.27642595999,-0.16067929131,-0.705663884322,0.633310551388,0.24350714582,0.523598790169
2017-06-25 00:25:58.441,-0.0903352228205,-6.03121217692,0.92263525359,-1.44373968125,0.47515988225,-0.3088233125,-0.190157795,-0.779205655,0.5130663845,0.304801995,0.5235988,0,1,0,-0.857152822346,-8.86952087718,0.315841434045,-1.56674344391,0.657150308987,-0.580321459833,-0.180564975741,-0.755961551025,0.550738884249,0.284642976718,0.523598790169
2017-06-25 00:25:58.541,0.4612209006,-4.015370165,0.1625619555,-0.0237515408718,0.0559389842744,0.410683316615,-0.2091745775,-0.7956534695,0.4767995535,0.3095042605,0.5235988,0,1,0,-0.313673135868,-6.60491103826,0.243607611621,-0.406131303828,0.26353525719,0.132618796205,-0.199864507462,-0.783108162202,0.499964732016,0.301327737357,0.523598790169
2017-06-25 00:25:58.641,4.7946496875,-10.6483171875,-5.430287905,1.49583132425,-0.086987981625,0.196920774325,-0.2104929165,-0.7718889575,0.520229311,0.2976484225,0.5235988,0,1,0,1.79215589641,-8.4912838797,-2.43024771297,1.02449251487,0.0340465290354,0.178878375872,-0.207034250344,-0.775434986441,0.513880440731,0.298858502846,0.523598790169
2017-06-25 00:25:58.741,0.0166453865,-13.2196101125,-5.7354133515,-0.261762498675,1.4332255335,-0.168918527975,-0.2162005185,-0.740220856,0.5363520825,0.3423449285,0.5235988,0,1,0,1.06022845744,-10.697192889,-3.98782580972,0.0569934751149,0.950093659653,-0.0713307329017,-0.213217651788,-0.751350870076,0.52931173075,0.32804285644,0.523598790169
2017-06-25 00:25:58.841,-4.2499624,-4.16463976983,3.508464285,0.584986205875,2.33049540675,0.132345244125,-0.259810773,-0.7076046525,0.508482785,0.413345583,0.5235988,0,1,0,-1.12881763516,-7.64955692588,-0.455156676158,0.454140586724,1.85384723898,0.0751961140073,-0.244648554084,-0.721431380803,0.515008510742,0.385290699453,0.523598790169
2017-06-25 00:25:58.941,2.41795191608,-12.08263452,1.955533547,0.76636201125,1.70254755193,1.0206980545,-0.319938361,-0.625500687,0.5402179305,0.461974894,0.5235988,0,1,0,0.33328460055,-9.71772354708,0.68089470736,0.68898820648,1.75479082989,0.755401125645,-0.295437734887,-0.65582120053,0.532319826437,0.436754527383,0.523598790169
2017-06-25 00:25:59.041,-0.144359809775,-9.730425975,1.469105032,0.81033511475,1.7069661725,0.92492608575,-0.3888554465,-0.528102476,0.5633337055,0.5012314485,0.5235988,0,1,0,0.136382892658,-9.72364955316,1.0523432687,0.780263265722,1.7234798607,0.877359348819,-0.358455688417,-0.568470127341,0.553617050773,0.480025876282,0.523598790169
2017-06-25 00:25:59.141,2.708348076,-9.3096808875,2.03450928975,0.45226830875,1.9841671575,0.231976828597,-0.4360496915,-0.4557145325,0.5493008275,0.547382311,0.5235988,0,1,0,1.19663674651,-9.53052051942,1.51519451088,0.533551059824,1.894152662,0.413063716085,-0.410799244606,-0.491352840197,0.550653114744,0.525229707324,0.523598790169
2017-06-25 00:25:59.241,-0.279139545175,-9.5146345875,1.12368334175,0.018765768225,1.6016117025,0.09345618375,-0.477642849,-0.403587228,0.5140656735,0.586673774,0.5235988,0,1,0,0.588270218521,-9.52310903345,1.33069265394,0.146338361097,1.70262514382,0.183134373283,-0.45589075522,-0.431327030755,0.525528520436,0.566465691339,0.523598790169
2017-06-25 00:25:59.341,0.871188383,-11.3046124625,-0.8423284085,0.037478299035,1.436792355,0.0251274941,-0.517319771,-0.3585518705,0.477545506,0.6126874435,0.5235988,0,1,0,0.704898974297,-10.3542347888,0.306644176967,0.0644556820314,1.5285835457,0.0694624026021,-0.497329708051,-0.381553684025,0.492578573803,0.597485769933,0.523598790169
2017-06-25 00:25:59.441,0.522174160275,-13.2759531125,-3.4314643575,-1.43791030775,1.596953525,-1.07180482075,-0.5623712915,-0.3349455865,0.4127715565,0.6324149885,0.5235988,0,1,0,0.629573432527,-11.7173059296,-1.45496065013,-1.06559834782,1.57334558937,-0.751578357336,-0.541205631892,-0.349676866282,0.437775081897,0.620927260569,0.523598790169
2017-06-25 00:25:59.541,-2.6208700075,-12.7916201375,-0.30764028835,-2.19799043,0.86141528034,-1.45768757,-0.6253130505,-0.365645598,0.2920403355,0.6232204845,0.5235988,0,1,0,-0.710372913729,-12.2185064561,-0.914279438,-1.91736430987,1.10724244122,-1.25956150156,-0.597943013461,-0.360598402919,0.337699020839,0.622466287734,0.523598790169
2017-06-25 00:25:59.641,-1.1953542971,-10.0056735025,-2.38136803223,-2.634767035,0.4802173185,-0.872781214,-0.6819145495,-0.4158921585,0.1913387435,0.5689856805,0.5235988,0,1,0,-0.910299195867,-11.1861520857,-1.60565318448,-2.45698239462,0.69672700247,-0.981307304327,-0.65458874814,-0.398415628347,0.237193401892,0.586574720668,0.523598790169
2017-06-25 00:25:59.741,0.900707018125,-5.005351544,-1.8599123575,-2.171212615,-0.6001053006,-0.205864466175,-0.7351669675,-0.454142703,0.12704757285,0.485796782,0.5235988,0,1,0,-0.163739192723,-8.30261938588,-1.72547427586,-2.24203129401,-0.152313406552,-0.423444778707,-0.708945398194,-0.436529209022,0.161556243535,0.518941240328,0.523598790169
2017-06-25 00:25:59.841,0.87837345875,-1.54634442025,-2.293830035,-0.406485166275,-0.60077074985,0.4748670855,-0.7715082745,-0.4708558125,0.12384866725,0.4092328125,0.5235988,0,1,0,0.265856030315,-5.15061023767,-1.99331508704,-0.861364869375,-0.445919933824,0.222811129233,-0.751149216199,-0.460006301663,0.13566244726,0.445314394466,0.523598790169
2017-06-25 00:25:59.941,1.532632935,-7.43072798,-4.1132066936,2.646904865,2.3424735435,0.442898732515,-0.762596902,-0.4272351375,0.13201897575,0.464655313,0.5235988,0,1,0,0.788065715554,-6.21435496832,-2.99232607766,1.77749572843,1.379650519,0.38114468058,-0.758871626003,-0.437593010918,0.133160469887,0.458294352265,0.523598790169
2017-06-25 00:26:00.041,-0.17010626775,-9.4733803225,-3.64713592325,1.4494093275,1.4502877295,0.60827706025,-0.7248333145,-0.344487255,0.1076807579,0.586148295,0.5235988,0,1,0,0.393073763767,-7.7347899735,-3.30090894471,1.53071477339,1.42589691597,0.544546349913,-0.735909976087,-0.373914901051,0.115663549951,0.544098932256,0.523598790169
2017-06-25 00:26:00.141,2.21856653725,-11.682845905,-0.2581831166,1.167496937,1.80579921725,1.12072891075,-0.704884894,-0.247185487,0.1005524837,0.656196202,0.5235988,0,1,0,1.14560568646,-9.57667902578,-1.86700718966,1.25750851124,1.67462023393,0.959058771394,-0.714980996146,-0.287240460318,0.105286779228,0.61932895485,0.523598790169
2017-06-25 00:26:00.241,2.60212896,-8.0970823825,-0.316561719375,0.58823361475,-0.059757656925,1.03171795225,-0.6906126345,-0.1832509115,0.1058437594,0.6913614635,0.5235988,0,1,0,1.7460354559,-8.88640177462,-1.13635099621,0.754091353585,0.539117264342,1.01133058392,-0.69854251398,-0.216118562907,0.105669258048,0.667670990612,0.523598790169
2017-06-25 00:26:00.341,1.31277014238,-8.7047587125,-0.6967710852,0.7333289335,-0.15241529645,0.5989074815,-0.674470368,-0.160005832,0.148676837,0.7051279685,0.5235988,0,1,0,1.56742835673,-8.80165969259,-0.929196476724,0.738474219779,0.0863686024102,0.714628639951,-0.682303865429,-0.177741213954,0.135202571961,0.692808880884,0.523598790169
