,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rot_phone_x,rot_phone_y,rot_phone_z,rot_phone_theta,rot_phone_phi,labelstairsdown,labelstairsup,labelstanding,labelwalking,labelsitting,labelondesk
2017-06-21 01:57:33.795,-0.313249355978,-9.05882862456,-2.666989424,-0.162902834586,-0.219389265158,0.0106765976511,-0.35827479985,-0.7295819821,0.5305015355,0.20479410713,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:34.795,-0.279516759508,-8.8282459115,-2.47788133391,-0.153376211341,0.00754623571075,0.0350374164522,-0.36381397795,-0.7129709216,0.5421087461,0.22482370262,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:35.795,-0.0463436273983,-8.882451206,-2.05859721077,-0.310763774789,0.058136614704,-0.0308157869395,-0.3582122745,-0.696785854,0.55502405325,0.25447935095,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:36.795,-0.360687559513,-9.57349975213,-1.85223255477,0.597646620207,0.309391833329,-0.30477802753,-0.35014134265,-0.6658916863,0.5703697437,0.30450985635,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:37.795,0.100357313693,-8.69465776175,-1.33601979,-0.156953684245,1.17411951708,0.441881921586,-0.63585978415,-0.4897899778,0.3435119523,0.44089191865,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:38.795,-0.899066419591,-9.13935900675,-1.6860459324,-0.416709178038,1.04025969734,0.879004523693,-0.780977183,-0.082215838637,0.0800862970218,0.54912088985,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:39.795,0.119618923418,-9.89440836591,-2.25392957545,0.0327396118454,0.368642815903,-0.132615559901,-0.72519559595,0.3176475051,-0.26210377925,0.53803150495,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:40.795,0.0179985803432,-9.23333355575,-2.52832643224,0.304800594419,0.00746634756608,-0.0925779193314,-0.69752455525,0.35448212875,-0.3228171518,0.519344743,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:41.795,0.169980528853,-8.310364879,-2.15436806724,0.257772713812,0.010060178211,-0.141290796719,-0.71759633295,0.34420259305,-0.27913408025,0.52182775075,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:42.795,0.641871249555,-8.681119917,-2.78021064815,-0.150956625704,-0.089383612355,-0.12031918079,-0.7003029801,0.3765045299,-0.284195717,0.5200780264,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:43.795,0.0256609283251,-9.20643745614,-1.00708474891,-0.353712655543,0.767922469296,0.308545924478,-0.6022491594,0.4094035944,-0.41610249435,0.5223395726,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:44.795,0.236963242226,-9.4793260415,-1.90153781051,0.150426925805,0.911736815987,-0.040052270916,-0.3305151015,0.69047380075,-0.58762388295,0.2212325491,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:45.795,0.262943215236,-8.88404989425,-2.43615409957,0.0076367348175,0.954126158745,0.731649331072,-0.197391907508,-0.2784882497,0.1469926672,0.0999055095335,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:46.795,0.863365555184,-8.87211314762,-2.71265086104,-0.178377361374,0.167559334094,0.0761131174852,-0.3611960642,-0.729456715,0.4905450213,0.28751443805,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:47.795,0.904941145392,-8.88870623142,-2.14893584808,-0.378972855032,-0.0686362227516,0.00020975875212,-0.34230423565,-0.7081229792,0.50920114035,0.3326286642,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:48.795,0.233229293525,-9.63511594737,-2.35656126152,0.300404386073,0.133514837052,-0.171441977305,-0.3082259082,-0.71321557935,0.53403042075,0.31713500235,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:49.795,0.379335185496,-8.071509553,-2.37658396981,0.38039674907,0.0149540535637,-0.124402399379,-0.34430542875,-0.7316037084,0.4915208646,0.2974574791,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:50.795,0.294282053817,-9.359473277,-1.87719244372,-0.363877550301,0.936771148298,0.369275703278,-0.4966524427,-0.5833331072,0.4316347138,0.42260076575,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:51.795,0.526015946681,-9.78271882682,-0.952023309842,-0.492233568213,0.89110227782,0.454885491634,-0.71669443405,-0.28110888689,0.14754401505,0.5995727748,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:52.795,-0.718314292156,-8.39937576875,-3.130584062,0.669767546338,0.654078835217,0.252225225478,-0.80634735195,0.223639735999,-0.10219982258,0.5125430631,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:53.795,0.522736985185,-8.66821674875,-2.76163129111,-0.0761437673245,-0.04016939063,-0.01754133465,-0.7589016352,0.30918006735,-0.22695040855,0.5146977574,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:54.795,0.641030906261,-9.13414265163,-2.36618936296,-0.147388276667,-0.0330651621679,-0.0238962576965,-0.75224176095,0.2944678286,-0.25348423175,0.51701836075,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:55.795,0.68266421569,-8.50596299002,-1.98751391451,-0.386609134572,0.180326080076,0.0673989130047,-0.721265334,0.2993540345,-0.30943574215,0.5277496913,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:56.795,0.34095115096,-9.97295778747,-1.634537872,0.378393447361,0.302291002565,-0.226458074169,-0.675499749,0.31378934225,-0.3685180693,0.5466249623,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:57.795,0.91944803848,-8.4653585695,-1.46654237586,-0.037204132918,0.849793813691,0.318751869512,-0.52442873395,0.57905715715,-0.5000383119,0.34310495935,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:58.795,0.884834014783,-8.93830906075,-1.36020948955,-0.196777041898,0.484577371007,0.314037801513,-0.37316456895,0.65769863215,-0.58552391825,0.26276570115,0.5235988,0,1,0,0,0,0
